Estados Unidos (U.S.A.), 1008900000,- Los demás cereales,0,0,0,0,438.14999,325.75,918645.38,366217.59,18561.869,791.94,8863.1699,85.419998,30.9,101.05,0,1000,0,667.79999,231.2,290.76001,195.44,5439.3901,48.549999,
Mexico, 1005100000,- Para siembra,5105,0,88043,121370,0,148312,45574.809,149521.03,34122.68,174288.91,67327.859,289446.34,514593.47,408249.97,643711.81,2463750.8,1340644,4053796.8,4904064,2411340.8,1790592.1,2421964.5,2885100.5,
Mexico, 1005901000,- - Maíz tipo "pop" (Zea mays everta),0,0,0,3198.0601,5715.3701,444.06,254.59,302.87,0,0,0,0,6918.2598,0,0,0,0,0,0,0,0,16685.1,0,
Mexico, 1005903000,- - Maíz blanco,0,0,0,1502962.5,867459,0,3282.78,0,0,0,0,998620.63,2312705,2.9258616E+7,4684089,3806241.3,1.1939377E+7,8021630,9975372,6314049,0,6439079,2342567.5,
Mexico, 1005909000,- - Otros,0,0,0,0,0,0,0,0,52.130001,0,51.639999,0,0,0,0,0,103.5,0,0,0,0,0,0,
Mexico, 1006109000,- - Otros,0,0,0,0,0,0,0,66360,0,0,0,0,0,0,0,0,0,0,0,0,0,54.060001,0,
Mexico, 1006309000,- - Otros,8174.5298,0,4688.6602,1061.6899,0,0,0,4632,0,0,0,0,0,0,0,0,0,0,0,0,0,83.150002,151.00999,
Mexico, 1006400000,- Arroz partido,0,0,0,0,0,0,0,0,5762.9399,9781.4404,1769.25,0,0,0,0,0,0,0,0,0,0,0,0,
Mexico, 1007100000,- Para siembra,0,0,0,0,23221,0,0,0,5891.9199,0,17035,61.32,911.71002,673.09998,0,115.83,94.43,0,57.200001,0,0,0,0,
Mexico, 1007900000,- Los demás,0,0,0,0,0,0,0,0,0,0,56.619999,0,56.02,0,0,0,0,0,0,0,0,0,0,
Mexico, 1008300000,- Alpiste,0,0,0,0,0,0,0,0,4.6799998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mexico, 1008900000,- Los demás cereales,0,0,0,0,0,0,0,0,94.019997,0,0,0,0,0,0,2532.5901,0,0,0,0,0,0,0,
Belice, 1005902000,- - Maíz amarillo,0,0,64726,184781.77,0,0,0,0,0,0,0,0,0,0,0,0,6060.79,0,56,0,0,0,0,
Belice, 1007900000,- Los demás,0,0,4044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guatemala, 1001110000,- - Para siembra,0,385,0,0,0,122.91,19810.24,6268.2798,1204.41,0,5217.23,2332.73,3798.27,2394.74,3778.4099,2707.5801,3475.1699,1205.37,0,0,0,0,0,
Guatemala, 1001190000,- - Los demás,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.04999,2809.01,1421.73,677.59998,298.09,
